strain,date,retail_and_recreation_percent_change_from_baseline,binned_mobility
USA/CA-CZB-2104/2020,2020-05-14,-58.0,0-25%
USA/CA-CZB-2103/2020,2020-05-14,-58.0,0-25%
USA/CA-CZB-2539/2020,2020-05-18,-55.0,25-50%
USA/CA-CZB-2531/2020,2020-05-27,-49.0,25-50%
USA/CA-CZB-2141/2020,2020-05-20,-51.0,25-50%
USA/CA-CZB-2113/2020,2020-05-19,-52.0,25-50%
USA/CA-CZB-2129/2020,2020-05-21,-51.0,25-50%
USA/CA-CZB-2128/2020,2020-05-21,-51.0,25-50%
USA/CA-CZB-1538/2020,2020-04-19,-59.0,0-25%
USA/CA-CZB-1544/2020,2020-04-27,-55.0,25-50%
USA/CA-CZB-1275/2020,2020-04-15,-54.0,25-50%
USA/CA-CZB-1625/2020,2020-05-06,-34.0,75-100%
USA/CA-CZB-1621/2020,2020-04-30,-32.0,75-100%
USA/CA-IGI-0107/2020,2020-05-21,-49.0,25-50%
USA/CA-IGI-0128/2020,2020-05-19,-51.0,25-50%
USA/CA-IGI-0075/2020,2020-06-01,-53.0,25-50%
USA/CA-ALSR-0649-SAN/2020,2020-05-14,-48.0,25-50%
USA/CA-ALSR-0673-SAN/2020,2020-05-14,-48.0,25-50%
USA/CA-CZB-2295/2020,2020-06-22,-45.0,50-75%
USA/CA-CZB-2453/2020,2020-05-21,-67.0,0-25%
USA/CA-CZB-2452/2020,2020-05-21,-67.0,0-25%
USA/CA-CZB-2471/2020,2020-05-19,-67.0,0-25%
USA/CA-CZB-2448/2020,2020-05-21,-67.0,0-25%
USA/CA-CZB-1195/2020,2020-04-28,-73.0,0-25%
USA/CA-CZB-1113/2020,2020-04-29,-75.0,0-25%
USA/CA-IGI-0100/2020,2020-06-10,-47.0,50-75%
USA/CA-IGI-0106/2020,2020-06-09,-47.0,50-75%
USA/CA-IGI-0078/2020,2020-06-17,-46.0,50-75%
USA/CA-IGI-0111/2020,2020-06-18,-44.0,50-75%
USA/CA-IGI-0139/2020,2020-06-17,-46.0,50-75%
USA/CA-IGI-0133/2020,2020-06-09,-47.0,50-75%
USA/CA-CZB-1139/2020,2020-04-01,-33.0,75-100%
USA/CA-CDPH014/2020,2020-03-29,-45.0,50-75%
USA/CA-CZB-1138/2020,2020-03-31,-33.0,75-100%
USA/CA-CZB-1432/2020,2020-03-22,-61.0,0-25%
USA/CA-CZB-1436/2020,2020-03-24,-48.0,25-50%
USA/CA-CZB-1842/2020,2020-04-23,-57.0,0-25%
USA/CA-CZB-1469/2020,2020-04-27,-50.0,25-50%
USA/CA-CZB-1474/2020,2020-04-28,-50.0,25-50%
USA/CA-CZB-1473/2020,2020-04-28,-50.0,25-50%
USA/CA-CZB-1483/2020,2020-04-30,-49.0,25-50%
USA/CA-ALSR-1829/2020,2020-05-18,-46.0,50-75%
USA/CA-CZB-1320/2020,2020-05-19,-56.0,0-25%
USA/CA-CZB-1787/2020,2020-05-21,-55.0,25-50%
USA/CA-CZB-1778/2020,2020-05-26,-53.0,25-50%
USA/CA-CZB-1322/2020,2020-05-19,-56.0,0-25%
USA/CA-CSMC123/2020,2020-03-25,-43.0,50-75%
USA/CA-CSMC83/2020,2020-03-25,-43.0,50-75%
USA/CA-CSMC143/2020,2020-04-05,-53.0,25-50%
USA/CA-CZB09/2020,2020-03-24,-70.0,0-25%
USA/CA-CZB0710/2020,2020-03-22,-72.0,0-25%
USA/CA-CDPH013/2020,2020-03-19,-32.0,75-100%
USA/CA-CZB-1133/2020,2020-04-07,-70.0,0-25%
USA/CA-ALSR-0956-SAN/2020,2020-03-28,-50.0,25-50%
USA/CA-ALSR-0687-SAN/2020,2020-03-28,-50.0,25-50%
USA/CA-ALSR-1380/2020,2020-03-11,2.0,75-100%
USA/CA-CZB06/2020,2020-03-17,-64.0,0-25%
USA/CA-ALSR-1592/2020,2020-04-24,-58.0,0-25%
USA/CA-CZB0136/2020,2020-04-07,-70.0,0-25%
USA/CA-CZB0137/2020,2020-04-07,-70.0,0-25%
USA/CA-CZB0122/2020,2020-04-07,-70.0,0-25%
USA/CA-CSMC36/2020,2020-04-02,-43.0,50-75%
USA/CA-CZB-1137/2020,2020-03-24,-39.0,75-100%
USA/CA-CZB-1136/2020,2020-03-26,-37.0,75-100%
USA/CA-CZB-1140/2020,2020-03-31,-33.0,75-100%
USA/CA-CZB-1144/2020,2020-04-07,-36.0,75-100%
USA/CA-CZB-1143/2020,2020-04-05,-51.0,25-50%
USA/CA-CZB-1142/2020,2020-04-02,-35.0,75-100%
USA/CA-CZB-1141/2020,2020-04-03,-37.0,75-100%
USA/CA-CZB0138/2020,2020-04-07,-70.0,0-25%
USA/CA-ALSR-0794-SAN/2020,2020-04-01,-42.0,75-100%
USA/CA-ALSR-0512-SAN/2020,2020-04-01,-42.0,75-100%
USA/CA-ALSR-1657/2020,2020-03-31,-43.0,50-75%
USA/CA-SR0439/2020,2020-03-29,-50.0,25-50%
USA/CA-ALSR-1676/2020,2020-03-31,-43.0,50-75%
USA/CA-ALSR-1664/2020,2020-03-31,-43.0,50-75%
USA/CA-ALSR-1681/2020,2020-03-31,-43.0,50-75%
USA/CA-ALSR-1677/2020,2020-04-01,-42.0,75-100%
USA/CA-ALSR-0783-SAN/2020,2020-04-06,-49.0,25-50%
USA/CA-ALSR-1650/2020,2020-03-31,-43.0,50-75%
USA/CA-ALSR-1653/2020,2020-03-31,-43.0,50-75%
USA/CA-CZB-1456/2020,2020-04-10,-49.0,25-50%
USA/CA-ALSR-0696-SAN/2020,2020-03-28,-50.0,25-50%
USA/CA-ALSR-1661/2020,2020-04-01,-42.0,75-100%
USA/CA-ALSR-1671/2020,2020-04-01,-42.0,75-100%
USA/CA-ALSR-1641/2020,2020-05-18,-46.0,50-75%
USA/CA-UW-754/2020,2020-06-29,-34.0,75-100%
USA/CA-UW-654/2020,2020-06-25,-44.0,50-75%
USA/CA-UW-710/2020,2020-06-29,-31.0,75-100%
USA/CA-UW-693/2020,2020-06-26,-32.0,75-100%
USA/CA-UW-606/2020,2020-06-26,-32.0,75-100%
USA/CA-ALSR-1057-SAN/2020,2020-06-19,-33.0,75-100%
USA/CA-ALSR-1067-SAN/2020,2020-06-21,-34.0,75-100%
USA/CA-ALSR-1039-SAN/2020,2020-06-20,-33.0,75-100%
USA/CA-CZB-1785/2020,2020-06-04,-52.0,25-50%
USA/CA-ALSR-0830-SAN/2020,2020-03-30,-42.0,75-100%
USA/CA-ALSR-0494-SAN/2020,2020-03-30,-42.0,75-100%
USA/CA-ALSR-1460/2020,2020-03-19,-31.0,75-100%
USA/CA-SR0438/2020,2020-03-20,-41.0,75-100%
USA/CA-SR007/2020,2020-03-20,-41.0,75-100%
USA/CA-CZB-1734/2020,2020-05-12,-48.0,25-50%
USA/CA-SR0111/2020,2020-03-23,-43.0,50-75%
USA/CA-ALSR-1615/2020,2020-05-17,-50.0,25-50%
USA/CA-ALSR-1845/2020,2020-05-17,-50.0,25-50%
USA/CA-SR0197/2020,2020-03-23,-43.0,50-75%
USA/CA-ALSR-1673/2020,2020-03-18,-33.0,75-100%
USA/CA-SR0260/2020,2020-03-24,-43.0,50-75%
USA/CA-SR0252/2020,2020-03-25,-44.0,50-75%
USA/CA-ALSR-1683/2020,2020-04-01,-42.0,75-100%
USA/CA-ALSR-1684/2020,2020-03-31,-43.0,50-75%
USA/CA-ALSR-1663/2020,2020-04-01,-42.0,75-100%
USA/CA-ALSR-1665/2020,2020-04-01,-42.0,75-100%
USA/CA-ALSR-1658/2020,2020-03-31,-43.0,50-75%
USA/CA-ALSR-0491-SAN/2020,2020-04-02,-44.0,50-75%
USA/CA-ALSR-0713-SAN/2020,2020-03-28,-50.0,25-50%
USA/CA-IGI-0067/2020,2020-06-11,-47.0,50-75%
USA/CA-CZB-2044/2020,2020-04-02,-28.0,75-100%
USA/CA-CZB-1204/2020,2020-03-23,-52.0,25-50%
USA/CA-CZB-1957/2020,2020-05-05,-48.0,25-50%
USA/CA-CZB-1883/2020,2020-04-28,-54.0,25-50%
USA/CA-CZB-1945/2020,2020-05-03,-55.0,25-50%
USA/CA-CZB-2188/2020,2020-05-25,-45.0,50-75%
USA/CA-CZB-2376/2020,2020-05-14,-48.0,25-50%
USA/CA-CZB-2377/2020,2020-05-14,-48.0,25-50%
USA/CA-CZB-2373/2020,2020-05-14,-48.0,25-50%
USA/CA-CZB-1960/2020,2020-05-05,-48.0,25-50%
USA/CA-CZB-1884/2020,2020-04-28,-54.0,25-50%
USA/CA-CZB-1959/2020,2020-05-05,-48.0,25-50%
USA/CA-CZB-1966/2020,2020-05-05,-48.0,25-50%
USA/CA-CZB-1968/2020,2020-05-05,-48.0,25-50%
USA/CA-CZB-1967/2020,2020-05-05,-48.0,25-50%
USA/CA-CZB-1962/2020,2020-05-05,-48.0,25-50%
USA/CA-CZB-2374/2020,2020-05-14,-48.0,25-50%
USA/CA-CZB-1965/2020,2020-05-05,-48.0,25-50%
USA/CA-CZB-1958/2020,2020-05-05,-48.0,25-50%
USA/CA-CZB-1964/2020,2020-05-05,-48.0,25-50%
USA/CA-CZB-2375/2020,2020-05-14,-48.0,25-50%
USA/CA-CZB-1955/2020,2020-05-05,-48.0,25-50%
USA/CA-CZB-1961/2020,2020-05-05,-48.0,25-50%
USA/CA-CZB-1369/2020,2020-04-12,-67.0,0-25%
USA/CA-ALSR-1086-SAN/2020,2020-06-22,-32.0,75-100%
USA/CA-ALSR-1063-SAN/2020,2020-06-19,-33.0,75-100%
USA/CA-CSMC112/2020,2020-04-01,-41.0,75-100%
USA/CA-ALSR-1638/2020,2020-05-18,-46.0,50-75%
USA/CA-CSMC9/2020,2020-03-26,-43.0,50-75%
USA/CA-CZB-1559/2020,2020-03-28,-45.0,50-75%
USA/CA-CZB-2525/2020,2020-04-28,-55.0,25-50%
USA/CA-CZB-2524/2020,2020-04-28,-55.0,25-50%
USA/CA-CZB-2526/2020,2020-04-28,-55.0,25-50%
USA/CA-CSMC141/2020,2020-04-07,-51.0,25-50%
USA/CA-CSMC138/2020,2020-04-05,-53.0,25-50%
USA/CA-CSMC37/2020,2020-04-02,-43.0,50-75%
USA/CA-CSMC118/2020,2020-04-04,-50.0,25-50%
USA/CA-CSMC117/2020,2020-04-03,-43.0,50-75%
USA/CA-CSMC131/2020,2020-03-25,-43.0,50-75%
USA/CA-CZB-1843/2020,2020-04-23,-57.0,0-25%
USA/CA-CSMC79/2020,2020-03-25,-43.0,50-75%
USA/CA-SR0182/2020,2020-03-21,-49.0,25-50%
USA/CA-CZB-1531/2020,2020-04-30,-48.0,25-50%
USA/CA-CZB-1521/2020,2020-05-10,-45.0,50-75%
USA/CA-CZB-2433/2020,2020-05-21,-41.0,75-100%
USA/CA-CZB-1800/2020,2020-04-15,-50.0,25-50%
USA/CA-CZB-2446/2020,2020-05-07,-42.0,75-100%
USA/CA-CZB-1549/2020,2020-05-10,-45.0,50-75%
USA/CA-SR0117/2020,2020-03-13,-4.0,75-100%
USA/CA-CZB-1277/2020,2020-03-14,-3.0,75-100%
USA/CA-CZB-1417/2020,2020-03-18,-21.0,75-100%
USA/CA-CZB-1271/2020,2020-03-18,-46.0,50-75%
USA/CA-CZB-1510/2020,2020-03-30,-47.0,50-75%
USA/CA-CSMC21/2020,2020-03-24,-43.0,50-75%
USA/CA-CZB-1232/2020,2020-03-17,-47.0,50-75%
USA/CA-CSMC12/2020,2020-03-27,-45.0,50-75%
USA/CA-CZB042/2020,2020-03-24,-70.0,0-25%
USA/CA-CZB-2486/2020,2020-04-13,-70.0,0-25%
USA/CA-CZB-2488/2020,2020-04-13,-70.0,0-25%
USA/CA-SR0095/2020,2020-03-18,-33.0,75-100%
USA/CA-CZB-1229/2020,2020-03-16,-8.0,75-100%
USA/CA-UCSF-UC44/2020,2020-03-18,-67.0,0-25%
USA/CA-CZB0705/2020,2020-03-22,-72.0,0-25%
USA/CA-ALSR-0518-SAN/2020,2020-03-31,-43.0,50-75%
USA/CA-ALSR-0788-SAN/2020,2020-04-06,-49.0,25-50%
USA/CA-ALSR-0616-SAN/2020,2020-04-06,-49.0,25-50%
USA/CA-CSMC137/2020,2020-04-11,-51.0,25-50%
USA/CA-CSMC92/2020,2020-04-01,-41.0,75-100%
USA/CA-SR0361/2020,2020-04-04,-52.0,25-50%
USA/CA-ALSR-0469-SAN/2020,2020-04-07,-51.0,25-50%
USA/CA-SR0099/2020,2020-03-13,-4.0,75-100%
USA/CA-CDPH-UC26/2020,2020-03-12,-17.0,75-100%
USA/CA-CZB-1203/2020,2020-03-24,-53.0,25-50%
USA/CA-ALSR-1667/2020,2020-03-23,-43.0,50-75%
USA/CA-ALSR-0721-SAN/2020,2020-03-26,-45.0,50-75%
USA/CA-ALSR-1435/2020,2020-03-26,-45.0,50-75%
USA/CA-ALSR-1595/2020,2020-04-25,-60.0,0-25%
USA/CA-ALSR-0935-SAN/2020,2020-03-28,-50.0,25-50%
USA/CA-ALSR-0705-SAN/2020,2020-03-28,-50.0,25-50%
USA/CA-SR0382/2020,2020-03-31,-43.0,50-75%
USA/CA-SR0405/2020,2020-04-05,-54.0,25-50%
USA/CA-ALSR-1287/2020,2020-04-30,-50.0,25-50%
USA/CA-SR0372/2020,2020-04-20,-59.0,0-25%
USA/CA-CSMC33/2020,2020-04-02,-43.0,50-75%
USA/CA-SR0413/2020,2020-03-24,-43.0,50-75%
USA/CA-ALSR-1451/2020,2020-03-24,-43.0,50-75%
USA/CA-CZB-1201/2020,2020-03-24,-53.0,25-50%
USA/CA-CZB-1590/2020,2020-03-24,-32.0,75-100%
USA/CA-CZB-1434/2020,2020-03-24,-48.0,25-50%
USA/CA-SR0115/2020,2020-03-24,-43.0,50-75%
USA/CA-SR0314/2020,2020-03-25,-44.0,50-75%
USA/CA-CZB086/2020,2020-03-27,-72.0,0-25%
USA/CA-CZB072/2020,2020-03-27,-72.0,0-25%
USA/CA-CZB-1593/2020,2020-03-27,-36.0,75-100%
USA/CA-ALSR-0761-IPL/2020,2020-04-10,-60.0,0-25%
USA/CA-IGI-0055/2020,2020-05-20,-50.0,25-50%
USA/CA-CZB-2523/2020,2020-04-30,-51.0,25-50%
USA/CA-CZB-1317/2020,2020-05-15,-59.0,0-25%
USA/CA-IGI-0017/2020,2020-05-10,-58.0,0-25%
USA/CA-ALSR-0707-SAN/2020,2020-03-29,-50.0,25-50%
USA/CA-CZB-1216/2020,2020-03-22,-62.0,0-25%
USA/CA-SR0184/2020,2020-03-22,-51.0,25-50%
USA/CA-CZB-1225/2020,2020-03-16,-8.0,75-100%
USA/CA-CZB-1220/2020,2020-03-16,-8.0,75-100%
USA/CA-CSMC6/2020,2020-03-26,-43.0,50-75%
USA/CA-CZB-1889/2020,2020-04-16,-58.0,0-25%
USA/CA-SR0122/2020,2020-03-25,-44.0,50-75%
USA/CA-ALSR-1589/2020,2020-04-21,-58.0,0-25%
USA/CA-ALSR-0782-SAN/2020,2020-04-05,-54.0,25-50%
USA/CA-SR0201/2020,2020-03-21,-49.0,25-50%
USA/CA-ALSR-1491/2020,2020-04-20,-59.0,0-25%
USA/CA-CZB0157/2020,2020-04-07,-70.0,0-25%
USA/CA-CSMC35/2020,2020-03-31,-42.0,75-100%
USA/CA-CSMC57/2020,2020-03-31,-42.0,75-100%
USA/CA-ALSR-0719-SAN/2020,2020-03-26,-45.0,50-75%
USA/CA-CZB-1197/2020,2020-03-27,-56.0,0-25%
USA/CA-ALSR-1433/2020,2020-03-26,-45.0,50-75%
USA/CA-ALSR-0686-SAN/2020,2020-03-28,-50.0,25-50%
USA/CA-CZB-1598/2020,2020-03-28,-44.0,50-75%
USA/CA-SR0219/2020,2020-04-01,-42.0,75-100%
USA/CA-ALSR-1202/2020,2020-04-23,-58.0,0-25%
USA/CA-SR0262/2020,2020-04-26,-61.0,0-25%
USA/CA-ALSR-1360/2020,2020-04-20,-59.0,0-25%
USA/CA-ALSR-1527/2020,2020-05-10,-50.0,25-50%
USA/CA-ALSR-1543/2020,2020-05-10,-50.0,25-50%
USA/CA-ALSR-0982-SAN/2020,2020-03-30,-42.0,75-100%
USA/CA-ALSR-1974/2020,2020-04-22,-57.0,0-25%
USA/CA-ALSR-0812-SAN/2020,2020-03-29,-50.0,25-50%
USA/CA-ALSR-1582/2020,2020-05-02,-52.0,25-50%
USA/CA-ALSR-1503/2020,2020-04-19,-64.0,0-25%
USA/CA-ALSR-0578-SAN/2020,2020-05-12,-49.0,25-50%
USA/CA-ALSR-0809-SAN/2020,2020-03-29,-50.0,25-50%
USA/CA-ALSR-1545/2020,2020-05-03,-53.0,25-50%
USA/CA-ALSR-1516/2020,2020-05-08,-49.0,25-50%
USA/CA-SR0235/2020,2020-04-19,-64.0,0-25%
USA/CA-ALSR-1059-SAN/2020,2020-06-19,-33.0,75-100%
USA/CA-ALSR-1900/2020,2020-04-21,-58.0,0-25%
USA/CA-ALSR-1619/2020,2020-04-26,-61.0,0-25%
USA/CA-ALSR-1645/2020,2020-04-21,-58.0,0-25%
USA/CA-ALSR-1603/2020,2020-04-22,-57.0,0-25%
USA/CA-ALSR-1625/2020,2020-04-21,-58.0,0-25%
USA/CA-ALSR-1640/2020,2020-04-22,-57.0,0-25%
USA/CA-SR0407/2020,2020-04-19,-64.0,0-25%
USA/CA-SR0366/2020,2020-04-28,-56.0,0-25%
USA/CA-SR0385/2020,2020-04-27,-56.0,0-25%
USA/CA-SR0387/2020,2020-04-20,-59.0,0-25%
USA/CA-ALSR-1643/2020,2020-04-22,-57.0,0-25%
USA/CA-ALSR-1630/2020,2020-04-23,-58.0,0-25%
USA/CA-ALSR-1628/2020,2020-04-23,-58.0,0-25%
USA/CA-SR0412/2020,2020-04-20,-59.0,0-25%
USA/CA-ALSR-1634/2020,2020-04-22,-57.0,0-25%
USA/CA-ALSR-1531/2020,2020-04-24,-58.0,0-25%
USA/CA-ALSR-1636/2020,2020-04-23,-58.0,0-25%
USA/CA-ALSR-1590/2020,2020-04-22,-57.0,0-25%
USA/CA-ALSR-1537/2020,2020-05-10,-50.0,25-50%
USA/CA-ALSR-1616/2020,2020-04-27,-56.0,0-25%
USA/CA-ALSR-1647/2020,2020-04-26,-61.0,0-25%
USA/CA-ALSR-1621/2020,2020-04-22,-57.0,0-25%
USA/CA-ALSR-1593/2020,2020-04-25,-60.0,0-25%
USA/CA-ALSR-1586/2020,2020-04-27,-56.0,0-25%
USA/CA-ALSR-0530-SAN/2020,2020-05-03,-53.0,25-50%
USA/CA-ALSR-0550-SAN/2020,2020-05-04,-48.0,25-50%
USA/CA-CSMC72/2020,2020-03-25,-43.0,50-75%
USA/CA-SR0256/2020,2020-03-25,-44.0,50-75%
USA/CA-CZB-1606/2020,2020-04-04,-43.0,50-75%
USA/CA-CZB-1566/2020,2020-04-04,-45.0,50-75%
USA/CA-CZB-1610/2020,2020-04-07,-32.0,75-100%
USA/CA-CZB0139/2020,2020-04-07,-70.0,0-25%
USA/CA-ALSR-0481-SAN/2020,2020-04-01,-42.0,75-100%
USA/CA-ALSR-0821-SAN/2020,2020-04-01,-42.0,75-100%
USA/CA-ALSR-0827-SAN/2020,2020-04-01,-42.0,75-100%
USA/CA-CSMC94/2020,2020-04-10,-49.0,25-50%
USA/CA-ALSR-0513-SAN/2020,2020-04-01,-42.0,75-100%
USA/CA-CZB-1773/2020,2020-04-01,-53.0,25-50%
USA/CA-ALSR-1434/2020,2020-03-27,-45.0,50-75%
USA/CA-SR0130/2020,2020-03-27,-45.0,50-75%
USA/CA-CZB-1609/2020,2020-04-06,-34.0,75-100%
USA/CA-ALSR-0974-IPL/2020,2020-04-08,-53.0,25-50%
USA/CA-CZB-1309/2020,2020-05-05,-58.0,0-25%
USA/CA-CZB-1310/2020,2020-05-05,-58.0,0-25%
USA/CA-CZB-2455/2020,2020-05-20,-67.0,0-25%
USA/CA-SR0370/2020,2020-04-28,-56.0,0-25%
USA/CA-CSMC70/2020,2020-03-25,-43.0,50-75%
USA/CA-CSMC133/2020,2020-03-25,-43.0,50-75%
USA/CA-ALSR-0801-SAN/2020,2020-03-30,-42.0,75-100%
USA/CA-CSMC43/2020,2020-03-31,-42.0,75-100%
USA/CA-CZB-1129/2020,2020-03-30,-67.0,0-25%
USA/CA-ALSR-0486-IPL/2020,2020-04-10,-60.0,0-25%
USA/CA-ALSR-1220/2020,2020-04-20,-59.0,0-25%
USA/CA-CZB-1273/2020,2020-04-13,-51.0,25-50%
USA/CA-IGI-0081/2020,2020-06-17,-46.0,50-75%
USA/CA-IGI-0132/2020,2020-06-17,-46.0,50-75%
USA/CA-IGI-0102/2020,2020-06-02,-53.0,25-50%
USA/CA-CZB-1396/2020,2020-04-18,-69.0,0-25%
USA/CA-CZB-1401/2020,2020-04-18,-69.0,0-25%
USA/CA-IGI-0080/2020,2020-06-10,-47.0,50-75%
USA/CA-IGI-0051/2020,2020-06-10,-47.0,50-75%
USA/CA-IGI-0095/2020,2020-06-10,-47.0,50-75%
USA/CA-IGI-0135/2020,2020-06-07,-53.0,25-50%
USA/CA-IGI-0104/2020,2020-06-10,-47.0,50-75%
USA/CA-IGI-0076/2020,2020-06-10,-47.0,50-75%
USA/CA-IGI-0085/2020,2020-06-10,-47.0,50-75%
USA/CA-IGI-0091/2020,2020-06-10,-47.0,50-75%
USA/CA-IGI-0077/2020,2020-06-10,-47.0,50-75%
USA/CA-IGI-0054/2020,2020-06-10,-47.0,50-75%
USA/CA-CZB-1629/2020,2020-05-08,-35.0,75-100%
USA/CA-CZB-1623/2020,2020-05-06,-34.0,75-100%
USA/CA-CZB-1622/2020,2020-05-06,-34.0,75-100%
USA/CA-IGI-0083/2020,2020-06-09,-47.0,50-75%
USA/CA-IGI-0050/2020,2020-06-01,-53.0,25-50%
USA/CA-IGI-0125/2020,2020-06-07,-53.0,25-50%
USA/CA-IGI-0079/2020,2020-06-17,-46.0,50-75%
USA/CA-IGI-0059/2020,2020-06-02,-53.0,25-50%
USA/CA-IGI-0052/2020,2020-05-19,-51.0,25-50%
USA/CA-IGI-0138/2020,2020-06-02,-53.0,25-50%
USA/CA-IGI-0096/2020,2020-06-02,-53.0,25-50%
USA/CA-IGI-0123/2020,2020-05-19,-51.0,25-50%
USA/CA-IGI-0127/2020,2020-06-02,-53.0,25-50%
USA/CA-SR0429/2020,2020-03-10,-4.0,75-100%
USA/CA-CZB015a/2020,2020-03-17,-64.0,0-25%
USA/CA-CZB-1774/2020,2020-04-01,-53.0,25-50%
USA/CA-CZB-1618/2020,2020-04-17,-46.0,50-75%
USA/CA-ALSR-1739/2020,2020-05-20,-45.0,50-75%
USA/CA-ALSR-1463/2020,2020-03-19,-31.0,75-100%
USA/CA-ALSR-1674/2020,2020-03-19,-31.0,75-100%
USA/CA-SR0205/2020,2020-03-20,-41.0,75-100%
USA/CA-ALSR-0521-IPL/2020,2020-04-06,-47.0,50-75%
USA/CA-ALSR-0786-IPL/2020,2020-04-06,-47.0,50-75%
USA/CA-ALSR-0588-IPL/2020,2020-04-14,-50.0,25-50%
USA/CA-ALSR-0600-IPL/2020,2020-04-14,-50.0,25-50%
USA/CA-ALSR-0519-IPL/2020,2020-04-01,-45.0,50-75%
USA/CA-ALSR-0828-IPL/2020,2020-04-01,-45.0,50-75%
USA/CA-CZB011a/2020,2020-03-17,-64.0,0-25%
USA/CA-MG0987/2020,2020-03-17,-24.0,75-100%
USA/CA-CZB0735/2020,2020-03-30,-67.0,0-25%
USA/CA-CSMC140/2020,2020-04-11,-51.0,25-50%
USA/CA-SR0379/2020,2020-04-06,-49.0,25-50%
USA/CA-ALSR-1449/2020,2020-03-26,-45.0,50-75%
USA/CA-ALSR-0693-SAN/2020,2020-03-26,-45.0,50-75%
USA/CA-ALSR-0685-SAN/2020,2020-03-28,-50.0,25-50%
USA/CA-ALSR-0977-SAN/2020,2020-03-29,-50.0,25-50%
USA/CA-ALSR-0476-SAN/2020,2020-04-01,-42.0,75-100%
USA/CA-ALSR-0987-SAN/2020,2020-04-01,-42.0,75-100%
USA/CA-CSMC126/2020,2020-04-08,-49.0,25-50%
USA/CA-CZB-1523/2020,2020-05-06,-47.0,50-75%
USA/CA-CZB-1534/2020,2020-04-28,-54.0,25-50%
USA/CA-CDPH004/2020,2020-03-22,-57.0,0-25%
USA/CA-CZB-1770/2020,2020-03-22,-62.0,0-25%
USA/CA-CZB-1218/2020,2020-03-22,-62.0,0-25%
USA/CA-CSMC130/2020,2020-03-25,-43.0,50-75%
USA/CA-CSMC107/2020,2020-04-01,-41.0,75-100%
USA/CA-ALSR-1678/2020,2020-04-02,-44.0,50-75%
USA/CA-CSMC97/2020,2020-04-01,-41.0,75-100%
USA/CA-IGI-0137/2020,2020-06-02,-53.0,25-50%
USA/CA-CZB-1728/2020,2020-04-06,-45.0,50-75%
USA/CA-CZB-1729/2020,2020-04-06,-45.0,50-75%
USA/CA-ALSR-1070-SAN/2020,2020-06-21,-34.0,75-100%
USA/CA-ALSR-0799-SAN/2020,2020-04-01,-42.0,75-100%
USA/CA-SR0313/2020,2020-03-26,-45.0,50-75%
USA/CA-CZB014/2020,2020-03-17,-64.0,0-25%
USA/CA-SR0259/2020,2020-03-24,-43.0,50-75%
USA/CA-ALSR-1437/2020,2020-03-26,-45.0,50-75%
USA/CA-SR0255/2020,2020-03-29,-50.0,25-50%
USA/CA-CSMC65/2020,2020-03-27,-45.0,50-75%
USA/CA-CZB-1535/2020,2020-04-27,-55.0,25-50%
USA/CA-ALSR-1654/2020,2020-03-23,-43.0,50-75%
USA/CA-ALSR-0816-SAN/2020,2020-03-29,-50.0,25-50%
USA/CA-ALSR-1428/2020,2020-03-27,-45.0,50-75%
USA/CA-ALSR-1430/2020,2020-03-27,-45.0,50-75%
USA/CA-SR0240/2020,2020-03-23,-43.0,50-75%
USA/CA-ALSR-0517-SAN/2020,2020-03-31,-43.0,50-75%
USA/CA-SR0453/2020,2020-05-18,-46.0,50-75%
USA/CA-ALSR-0774-SAN/2020,2020-04-08,-49.0,25-50%
USA/CA-SR0431/2020,2020-03-18,-33.0,75-100%
USA/CA-ALSR-0975-SAN/2020,2020-03-30,-42.0,75-100%
USA/CA-ALSR-0709-SAN/2020,2020-03-30,-42.0,75-100%
USA/CA-ALSR-0939-SAN/2020,2020-03-29,-50.0,25-50%
USA/CA-ALSR-0810-SAN/2020,2020-03-29,-50.0,25-50%
USA/CA-ALSR-0806-SAN/2020,2020-03-29,-50.0,25-50%
USA/CA-ALSR-0684-SAN/2020,2020-03-29,-50.0,25-50%
USA/CA-ALSR-0976-SAN/2020,2020-03-29,-50.0,25-50%
USA/CA-ALSR-0704-SAN/2020,2020-03-29,-50.0,25-50%
USA/CA-SR0249/2020,2020-03-16,-11.0,75-100%
USA/CA-ALSR-1461/2020,2020-03-22,-51.0,25-50%
USA/CA-SR0347/2020,2020-03-22,-51.0,25-50%
USA/CA-SR0310/2020,2020-03-20,-41.0,75-100%
USA/CA-ALSR-0763-IPL/2020,2020-04-10,-60.0,0-25%
USA/CA-ALSR-0762-SAN/2020,2020-04-10,-56.0,0-25%
USA/CA-ALSR-0587-SAN/2020,2020-04-12,-65.0,0-25%
USA/CA-ALSR-1800/2020,2020-05-10,-50.0,25-50%
USA/CA-ALSR-0524-SAN/2020,2020-03-29,-50.0,25-50%
USA/CA-ALSR-1444/2020,2020-03-27,-45.0,50-75%
USA/CA-ALSR-0475-SAN/2020,2020-04-01,-42.0,75-100%
USA/CA-CZB-1916/2020,2020-04-21,-56.0,0-25%
USA/CA-ALSR-0941-SAN/2020,2020-03-28,-50.0,25-50%
USA/CA-ALSR-0805-SAN/2020,2020-03-29,-50.0,25-50%
USA/CA-ALSR-1446/2020,2020-03-27,-45.0,50-75%
USA/CA-ALSR-1452/2020,2020-03-26,-45.0,50-75%
